Month,Adj Close AAPL,Adj Close MSFT,Adj Close TSLA,Close AAPL,Close MSFT,Close TSLA,High AAPL,High MSFT,High TSLA,Low AAPL,Low MSFT,Low TSLA,Open AAPL,Open MSFT,Open TSLA,Volume AAPL,Volume MSFT,Volume TSLA
Apr-2022,162.44429397583008,278.5820134480794,320.41833750406903,163.42833201090494,281.3149948120117,320.41833750406903,166.75249989827475,286.91833241780597,333.6361134847005,161.62833531697592,277.8391647338867,314.14055887858075,164.28749974568686,282.95499928792316,326.92528279622394,88702766.66666667,32613925.0,79620275.0
May-2022,147.70899309430803,264.3962656656901,255.22333344959077,148.43047659737724,266.72904604957216,255.22333344959077,150.9509524390811,270.59666515531995,264.4142884753999,145.3642839704241,262.05142793201264,246.07619004022507,148.32428559802827,266.7661895751953,256.98555428641185,114335252.38095239,35376285.71428572,92772457.14285715
Jun-2022,139.16097949800036,257.5765373593285,234.02587309337798,139.79857308523995,259.4990488688151,234.02587309337798,141.9190470377604,263.0166669573103,241.54444376627603,138.1114298502604,256.1895236060733,228.35111054920014,139.94571431477866,259.19285656156995,234.47253926595053,83290466.66666667,29589157.14285714,95772757.14285715
Jul-2022,148.98788146972657,260.27087631225584,251.3946662902832,149.670499420166,262.21349639892577,251.3946662902832,150.7659996032715,264.8174987792969,255.8416664123535,147.14150009155273,257.7410003662109,243.75466613769532,148.4364990234375,261.29750061035156,248.88666839599608,72356270.0,26744590.0,87244200.0
Aug-2022,166.31555573836616,278.7637183147928,294.8698571246603,166.88521808126697,280.5643496306046,294.8698571246603,168.5895657746688,283.22825821586275,301.8520282247792,165.53391299040422,278.3352156929348,290.23855060079825,166.95652240255603,280.99086993673575,297.2230423637058,65662591.30434783,20745982.608695652,73707095.6521739
Sep-2022,152.51659429640998,246.39672342936197,288.7347630092076,153.0028555733817,247.70999872116815,288.7347630092076,155.30857267833892,251.14761788504464,294.0271402994792,150.89333307175409,245.15428597586495,282.8238089425223,153.28428577241442,248.51904805501303,287.88571021670384,99272514.28571428,27408885.714285713,61870047.61904762
Oct-2022,144.5524655296689,235.78234499976747,223.81047712053572,145.01333327520462,237.03904796781995,223.81047712053572,146.80047752743675,240.39190528506325,229.78857349214098,142.48047601609002,233.3142852783203,217.4819052559989,144.105715797061,236.02952285039993,224.12619018554688,88959033.33333333,31963100.0,82631576.1904762
Nov-2022,145.5867716471354,236.3435262044271,191.24666631789435,145.84333147321428,237.27523731050036,191.24666631789435,148.03285507928757,240.11809576125373,197.35238066173736,143.50809442429315,233.86904761904762,186.91523815336683,146.05714271182106,236.9238092331659,193.47904895600817,82135604.76190476,29299809.523809522,89775014.28571428
Dec-2022,137.66647338867188,245.02865382603235,152.97047642299108,137.87666647774833,245.6423804873512,152.97047642299108,140.16666666666666,248.5376194545201,158.92142777215867,136.27714356921967,242.6019047328404,150.16142926897322,138.735715956915,245.81904747372582,155.8971426827567,79796723.8095238,28159938.095238097,140202271.42857143
Jan-2023,135.57200355529784,236.68816604614258,134.1959991455078,135.77899932861328,237.28099975585937,134.1959991455078,137.2714984893799,239.6680000305176,137.2429992675781,133.73700065612792,234.02849884033202,128.43050003051758,135.12600021362306,236.5089988708496,132.31599960327148,72182625.0,33308405.0,194874970.0
Feb-2023,150.8833770751953,259.3506140457956,199.77526373612253,150.9684207313939,259.69737002724094,199.77526373612253,152.2968420731394,262.8989482678865,204.2347371954667,149.01158061780427,257.02578655042146,193.33210513466284,150.22631595009253,260.0273718582956,198.17842021741365,68799942.10526316,32394789.47368421,190781321.0526316
Mar-2023,154.96478205141813,266.7426101021145,188.52260888141134,154.96478205141813,266.7426101021145,188.52260888141134,156.36304440705672,269.37739098590356,192.46260800568953,153.2413038170856,263.2626077403193,184.24260811183763,154.455218107804,265.8443484099015,188.4252180016559,66096152.17391305,32504752.173913043,143967630.4347826
Apr-2023,163.30714416503906,286.5799996512277,187.10999843052454,163.30714416503906,286.5799996512277,187.10999843052454,164.22714233398438,288.64857264927457,192.05285862513952,161.92857142857142,283.2685764857701,184.01285661969865,163.29000200544084,286.0799996512277,189.74286106654577,49370014.28571428,25756528.57142857,137351300.0
